id,cell,directive,value,status
tactics-00158,,,,complete
tactics-00159,,,,complete
tactics-00160,,,,complete
tactics-00161,,,,complete
tactics-00162,vertical_stack|person,,,complete_point_sample
tactics-00163,vertical_stack|zone_cup,,,complete_point_sample
tactics-00164,horizontal_stack|person,,,complete_point_sample
tactics-00165,horizontal_stack|zone_cup,,,complete_point_sample
tactics-00166,split_stack|person,,,complete_point_sample
tactics-00167,split_stack|zone_cup,,,complete_point_sample
tactics-00168,side_stack|person,,,complete_point_sample
tactics-00169,side_stack|zone_cup,,,complete_point_sample
tactics-00170,motion_offense|person,,,complete_point_sample
tactics-00171,motion_offense|zone_cup,,,complete_point_sample
tactics-00172,hex_offense|person,,,complete_point_sample
tactics-00173,hex_offense|zone_cup,,,complete_point_sample
tactics-00174,zone_offense|person,,,complete_point_sample
tactics-00175,zone_offense|zone_cup,,,complete_point_sample
tactics-00176,horizontal_stack|zone_wall,,,complete_point_sample
tactics-00177,zone_offense|zone_wall,,,complete_point_sample
tactics-00178,horizontal_stack|clam,,,complete_point_sample
tactics-00179,zone_offense|clam,,,complete_point_sample
tactics-00180,horizontal_stack|all_person,,,complete_point_sample
tactics-00181,zone_offense|all_person,,,complete_point_sample
tactics-00182,vertical_stack|person,,,complete_point_sample
tactics-00183,vertical_stack|zone_cup,,,complete_point_sample
tactics-00184,horizontal_stack|person,,,complete_point_sample
tactics-00185,horizontal_stack|zone_cup,,,complete_point_sample
tactics-00186,split_stack|person,,,complete_point_sample
tactics-00187,split_stack|zone_cup,,,complete_point_sample
tactics-00188,side_stack|person,,,complete_point_sample
tactics-00189,side_stack|zone_cup,,,complete_point_sample
tactics-00190,motion_offense|person,,,complete_point_sample
tactics-00191,motion_offense|zone_cup,,,complete_point_sample
tactics-00192,hex_offense|person,,,complete_point_sample
tactics-00193,hex_offense|zone_cup,,,complete_point_sample
tactics-00194,zone_offense|person,,,complete_point_sample
tactics-00195,zone_offense|zone_cup,,,complete_point_sample
tactics-00196,horizontal_stack|zone_wall,,,complete_point_sample
tactics-00197,zone_offense|zone_wall,,,complete_point_sample
tactics-00198,horizontal_stack|clam,,,complete_point_sample
tactics-00199,zone_offense|clam,,,complete_point_sample
tactics-00200,horizontal_stack|all_person,,,complete_point_sample
tactics-00201,zone_offense|all_person,,,complete_point_sample
tactics-00202,,creativity,0,complete_point_sample
tactics-00203,,creativity,-1,complete_point_sample
tactics-00204,,creativity,1,complete_point_sample
tactics-00205,,huckAppetite,0,complete_point_sample
tactics-00206,,huckAppetite,-1,complete_point_sample
tactics-00207,,huckAppetite,1,complete_point_sample
tactics-00208,,breakAppetite,0,complete_point_sample
tactics-00209,,breakAppetite,-1,complete_point_sample
tactics-00210,,breakAppetite,1,complete_point_sample
tactics-00211,,passSelectivity,0,complete_point_sample
tactics-00212,,passSelectivity,-1,complete_point_sample
tactics-00213,,passSelectivity,1,complete_point_sample
tactics-00214,,possessionTempo,0,complete_point_sample
tactics-00215,,possessionTempo,-1,complete_point_sample
tactics-00216,,possessionTempo,1,complete_point_sample
tactics-00217,,stackDepth,0,complete_point_sample
tactics-00218,,stackDepth,-1,complete_point_sample
tactics-00219,,stackDepth,1,complete_point_sample
tactics-00220,,coverageShade,0,complete_point_sample
