id,cell,directive,value,status
tactics-00134,,,,not_run
tactics-00135,,,,not_run
tactics-00136,,,,not_run
tactics-00137,,,,not_run
tactics-00138,vertical_stack|person,,,not_run
tactics-00139,vertical_stack|zone_cup,,,not_run
tactics-00140,horizontal_stack|person,,,not_run
tactics-00141,horizontal_stack|zone_cup,,,not_run
tactics-00142,split_stack|person,,,not_run
tactics-00143,split_stack|zone_cup,,,not_run
tactics-00144,side_stack|person,,,not_run
tactics-00145,side_stack|zone_cup,,,not_run
tactics-00146,motion_offense|person,,,not_run
tactics-00147,motion_offense|zone_cup,,,not_run
tactics-00148,hex_offense|person,,,not_run
tactics-00149,hex_offense|zone_cup,,,not_run
tactics-00150,zone_offense|person,,,not_run
tactics-00151,zone_offense|zone_cup,,,not_run
tactics-00152,horizontal_stack|zone_wall,,,not_run
tactics-00153,zone_offense|zone_wall,,,not_run
tactics-00154,horizontal_stack|clam,,,not_run
tactics-00155,zone_offense|clam,,,not_run
tactics-00156,horizontal_stack|all_person,,,not_run
tactics-00157,zone_offense|all_person,,,not_run
tactics-00158,vertical_stack|person,,,not_run
tactics-00159,vertical_stack|zone_cup,,,not_run
tactics-00160,horizontal_stack|person,,,not_run
tactics-00161,horizontal_stack|zone_cup,,,not_run
tactics-00162,split_stack|person,,,not_run
tactics-00163,split_stack|zone_cup,,,not_run
tactics-00164,side_stack|person,,,not_run
tactics-00165,side_stack|zone_cup,,,not_run
tactics-00166,motion_offense|person,,,not_run
tactics-00167,motion_offense|zone_cup,,,not_run
tactics-00168,hex_offense|person,,,not_run
tactics-00169,hex_offense|zone_cup,,,not_run
tactics-00170,zone_offense|person,,,not_run
tactics-00171,zone_offense|zone_cup,,,not_run
tactics-00172,horizontal_stack|zone_wall,,,not_run
tactics-00173,zone_offense|zone_wall,,,not_run
tactics-00174,horizontal_stack|clam,,,not_run
tactics-00175,zone_offense|clam,,,not_run
tactics-00176,horizontal_stack|all_person,,,not_run
tactics-00177,zone_offense|all_person,,,not_run
tactics-00178,,creativity,0,not_run
tactics-00179,,creativity,-1,not_run
tactics-00180,,creativity,1,not_run
tactics-00181,,huckAppetite,0,not_run
tactics-00182,,huckAppetite,-1,not_run
tactics-00183,,huckAppetite,1,not_run
tactics-00184,,breakAppetite,0,not_run
tactics-00185,,breakAppetite,-1,not_run
tactics-00186,,breakAppetite,1,not_run
tactics-00187,,passSelectivity,0,not_run
tactics-00188,,passSelectivity,-1,not_run
tactics-00189,,passSelectivity,1,not_run
tactics-00190,,possessionTempo,0,not_run
tactics-00191,,possessionTempo,-1,not_run
tactics-00192,,possessionTempo,1,not_run
tactics-00193,,stackDepth,0,not_run
tactics-00194,,stackDepth,-1,not_run
tactics-00195,,stackDepth,1,not_run
tactics-00196,,coverageShade,0,not_run
tactics-00197,,coverageShade,-1,not_run
tactics-00198,,coverageShade,1,not_run
tactics-00199,,cushionDepth,0,not_run
tactics-00200,,cushionDepth,-1,not_run
tactics-00201,,cushionDepth,1,not_run
tactics-00202,,markShape,0,not_run
tactics-00203,,markShape,-1,not_run
tactics-00204,,markShape,1,not_run
tactics-00205,,poachSeeking,0,not_run
tactics-00206,,poachSeeking,-1,not_run
tactics-00207,,poachSeeking,1,not_run
tactics-00208,,helpDeep,0,not_run
tactics-00209,,helpDeep,-1,not_run
tactics-00210,,helpDeep,1,not_run
tactics-00211,,poachResetHandler,0,not_run
tactics-00212,,poachResetHandler,1,not_run
tactics-00213,,creativity,0,not_run
tactics-00214,,creativity,-1,not_run
tactics-00215,,creativity,1,not_run
tactics-00216,,huckAppetite,0,not_run
tactics-00217,,huckAppetite,-1,not_run
tactics-00218,,huckAppetite,1,not_run
tactics-00219,,breakAppetite,0,not_run
tactics-00220,,breakAppetite,-1,not_run
tactics-00221,,breakAppetite,1,not_run
tactics-00222,,passSelectivity,0,not_run
tactics-00223,,passSelectivity,-1,not_run
tactics-00224,,passSelectivity,1,not_run
tactics-00225,,possessionTempo,0,not_run
tactics-00226,,possessionTempo,-1,not_run
tactics-00227,,possessionTempo,1,not_run
tactics-00228,,stackDepth,0,not_run
tactics-00229,,stackDepth,-1,not_run
tactics-00230,,stackDepth,1,not_run
tactics-00231,,coverageShade,0,not_run
tactics-00232,,coverageShade,-1,not_run
tactics-00233,,coverageShade,1,not_run
tactics-00234,,cushionDepth,0,not_run
tactics-00235,,cushionDepth,-1,not_run
tactics-00236,,cushionDepth,1,not_run
tactics-00237,,markShape,0,not_run
tactics-00238,,markShape,-1,not_run
tactics-00239,,markShape,1,not_run
tactics-00240,,poachSeeking,0,not_run
tactics-00241,,poachSeeking,-1,not_run
tactics-00242,,poachSeeking,1,not_run
tactics-00243,,helpDeep,0,not_run
tactics-00244,,helpDeep,-1,not_run
tactics-00245,,helpDeep,1,not_run
tactics-00246,,poachResetHandler,0,not_run
tactics-00247,,poachResetHandler,1,not_run
tactics-00248,,,,not_run
tactics-00249,,,,not_run
tactics-00250,,,,not_run
tactics-00251,,,,not_run
tactics-00252,,,,not_run
tactics-00253,,,,not_run
tactics-00254,,,,not_run
tactics-00255,,,,not_run
tactics-00256,,,,not_run
tactics-00257,,,,not_run
