# Wpływ założeń trenerskich na zachowanie drużyny
# 24 meczów/warunek, do 7 pkt, baseline ×3, roster 18, seed 424242
# efekt = (D−C) z dyrektywą − (D−C) baseline;  próg = max(MIN_DELTA metryki, 2 × rozrzut baseline)

dyrektywa           sonda                 efekt    próg    szum     baza  wynik
------------------------------------------------------------------------------------
huckAppetite +1     deepThrowShare↑        1.03    3.00    0.28    17.51  FAIL
huckAppetite -1     deepThrowShare↓       -0.51    3.00    0.28    17.51  FAIL
breakAppetite +1    breakShare↑            9.92    5.00    1.96    40.14  PASS
breakAppetite -1    breakShare↓          -20.91    5.00    1.96    40.14  PASS
passSelectivity +1  tightSepShare↑         2.11    2.00    0.06    14.87  PASS
passSelectivity -1  tightSepShare↓        -4.44    2.00    0.06    14.87  PASS
possessionTempo +1  holdMs↓              -90.23  250.00   17.04  2544.86  FAIL
possessionTempo -1  holdMs↑              337.45  250.00   17.04  2544.86  PASS
stackDepth +1       stackDepthM↑           5.78    1.50    0.17    19.75  PASS
stackDepth -1       stackDepthM↓          -7.06    1.50    0.17    19.75  PASS
coverageShade +1    cushionM↑              0.75    0.22    0.03     1.66  PASS
coverageShade -1    cushionM↓              0.52    0.22    0.03     1.66  FAIL
cushionDepth +1     cushionM↑              0.34    0.22    0.03     1.66  PASS
cushionDepth -1     cushionM↓             -0.19    0.22    0.03     1.66  FAIL
markShape +1        markAngleDeg↑         15.56    4.00    0.00    56.31  PASS
markShape -1        markAngleDeg↓        -18.58    4.00    0.00    56.31  PASS
poachSeeking +1     poachShare↑            5.23    0.23    0.11     0.25  PASS
poachSeeking -1     poachShare↓           -0.11    0.23    0.11     0.25  FAIL
helpDeep +1         deepCushionM↑          0.55    0.30    0.08     2.29  PASS
helpDeep -1         deepCushionM↓         -0.25    0.30    0.08     2.29  FAIL
poachResetHandler +1resetGapM↑             0.00    0.40    0.01     1.69  FAIL
creativity +1       poachShare↑            0.12    0.23    0.11     0.25  FAIL
------------------------------------------------------------------------------------
PASS 13/22

## Pełna macierz metryk (efekt = (D−C) z dyrektywą − (D−C) baseline)
warunek                 stackDepthM       cushionM   markAngleDeg     poachShare  resetPoachSha      resetGapM   deepCushionM  deepThrowShar     breakShare     resetShare  tightSepShare         holdMs
[baza abs]                    19.75           1.66          56.31           0.25           0.60           1.69           2.29          17.51          40.14           7.75          14.87        2544.86
[szum ±]                       0.17           0.03           0.00           0.11           0.09           0.01           0.08           0.28           1.96           1.41           0.06          17.04
huckAppetite +1                0.89          -0.02          -0.00           0.07          -0.05          -0.01          -0.08           1.03          -1.94          -2.10          -0.85         -23.40
huckAppetite -1                0.62          -0.02          -0.00           0.21           0.34          -0.03          -0.08          -0.51           0.60          -0.45          -0.46         -34.36
breakAppetite +1              -0.29           0.03          -0.00           0.11          -0.07          -0.01           0.08          -0.67           9.92           0.70           6.37         -95.50
breakAppetite -1               0.54           0.01          -0.00           0.15           0.13          -0.01          -0.02          -0.43         -20.91          -4.77           6.86         255.98
passSelectivity +1             0.45          -0.02           0.00           0.13           0.13          -0.01          -0.12           1.28          -1.67          -1.35           2.11          25.60
passSelectivity -1             1.37          -0.04          -0.00           0.17           0.16          -0.05          -0.14           0.24           0.71           5.29          -4.44         678.28
possessionTempo +1             1.05           0.04           0.00           0.15           0.43          -0.01           0.22           0.18           7.79          -0.46           1.89         -90.23
possessionTempo -1             0.52          -0.02           0.00           0.13           0.17          -0.02          -0.12           1.43           0.93          -1.45           2.66         337.45
stackDepth +1                  5.78           0.07          -0.00           0.18           0.21           0.03           0.24           9.32          15.12          -3.87           3.63         -32.98
stackDepth -1                 -7.06           0.03          -0.00           0.08           0.29          -0.07           0.05          -3.45          -2.43           0.81           5.53         199.72
coverageShade +1               0.59           0.75          -0.00           0.12           0.18           0.89           0.66           2.69           0.12          -1.32          -0.43         168.76
coverageShade -1               0.29           0.52          -0.00           0.12           0.09           0.65           0.10          -1.99          -3.19          -2.40           8.33         250.56
cushionDepth +1                0.08           0.34           0.00           0.13           0.07           0.36           0.36          -0.28           2.05          -1.34           3.06         104.02
cushionDepth -1               -0.65          -0.19          -0.01           0.20           0.12          -0.22          -0.34          -2.68          -6.20          -3.04           1.92          32.62
markShape +1                  -0.39          -0.01          15.56           0.16           0.20           0.01          -0.02           1.00          -5.17          -1.79           0.20          33.11
markShape -1                   0.71           0.00         -18.58           0.12           0.10          -0.01           0.05          -0.37          -1.76          -1.97           4.16          62.39
poachSeeking +1                0.58           0.05          -0.00           5.23           6.23           0.10          -0.05           0.10          -3.60          -2.53           1.02          64.82
poachSeeking -1               -0.64          -0.05           0.00          -0.11          -0.51          -0.02          -0.19           3.10          -2.05          -0.68           3.21          75.75
helpDeep +1                    0.28           0.07           0.00           0.09           0.29          -0.03           0.55           1.20          -0.80          -3.66          -0.15         -12.39
helpDeep -1                   -0.74          -0.02           0.00           0.09           0.04           0.02          -0.25           0.40          -4.02          -2.82           2.59          42.16
poachResetHandler +1          -0.54          -0.03          -0.00          -0.02          -0.43           0.00          -0.14           1.81          -0.54          -0.52           1.16          54.38
creativity +1                  0.16          -0.00          -0.00           0.12           0.21          -0.01           0.12           0.24          -1.25          -1.49           2.36          39.85

czas: 1566 s
